,age,ast,blk,date_game,drb,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,player,pos,pts,stl,team_id,tov,trb
1,26-301,1,0,2016-12-05,2,21,13,.684,19,8,.571,14,.636,33,10,.909,11,,W,46.2,1,29,IND,0,0,Klay Thompson,G,60,0,GSW,0,2
2,26-129,1,3,2016-12-20,12,17,12,.600,20,5,.625,8,.607,28,16,.941,17,,W,42.9,1,41,POR,1,5,DeMarcus Cousins,C-F,55,1,SAC,5,13
3,27-127,17,0,2016-12-31,13,14,5,.500,10,9,.563,16,.538,26,16,.889,18,,W,48.7,1,42,NYK,3,2,James Harden,G,53,0,HOU,8,16
4,27-110,6,1,2017-01-02,9,15,14,.700,20,1,.250,4,.625,24,21,.955,22,,W,51.5,1,38,CHO,3,0,Jimmy Butler,G-F,52,3,CHI,2,12
5,27-327,0,0,2016-12-30,1,15,6,.462,13,9,.692,13,.577,26,13,1.000,13,,W,39.0,1,37,MIA,1,2,Isaiah Thomas,G,52,1,BOS,2,2
6,26-091,8,0,2016-12-06,3,18,13,.565,23,5,.625,8,.581,31,11,.786,14,,L,41.3,1,42,ORL,1,3,John Wall,G,52,3,WAS,4,4
7,27-154,13,1,2017-01-27,12,16,10,.588,17,6,.545,11,.571,28,13,.929,14,@,W,46.9,1,39,PHI,1,4,James Harden,G,51,2,HOU,5,13
8,27-351,10,0,2016-10-28,10,17,15,.441,34,2,.200,10,.386,44,15,.750,20,,W,32.9,1,45,PHO,3,3,Russell Westbrook,G,51,2,OKC,5,13
9,23-229,5,4,2016-10-26,14,17,17,.531,32,0,.000,2,.500,34,16,.941,17,,L,44.2,1,41,DEN,1,4,Anthony Davis,F-C,50,5,NOP,3,15
10,24-306,4,1,2017-01-23,2,15,7,.500,14,8,.571,14,.536,28,11,1.000,11,@,L,39.9,1,42,NOP,0,4,Kyrie Irving,G,49,2,CLE,0,2
11,28-054,5,0,2017-01-05,7,16,8,.421,19,8,.533,15,.471,34,9,.818,11,@,L,33.3,1,38,HOU,1,2,Russell Westbrook,G,49,2,OKC,5,8
12,21-015,2,3,2016-11-30,15,15,15,.789,19,0,.000,3,.682,22,17,.850,20,,L,42.7,1,42,NYK,3,2,Karl-Anthony Towns,F-C,47,1,MIN,4,18
13,28-091,8,0,2017-02-11,10,14,11,.688,16,3,.300,10,.538,26,16,.889,18,,L,30.9,1,37,GSW,1,5,Russell Westbrook,G,47,1,OKC,11,11
14,21-264,3,1,2016-11-13,3,14,12,.750,16,2,.400,5,.667,21,17,.773,22,,W,37.5,1,41,LAL,1,2,Andrew Wiggins,F-G,47,0,MIN,2,4
15,26-170,5,1,2017-01-30,11,11,7,.700,10,4,.667,6,.688,16,20,.909,22,@,L,39.3,1,32,PHI,4,6,DeMarcus Cousins,C-F,46,1,SAC,8,15
16,28-238,5,0,2016-11-07,2,16,3,.333,9,13,.765,17,.615,26,1,.500,2,,W,37.2,1,36,NOP,3,2,Stephen Curry,G,46,2,GSW,4,5
17,28-037,7,0,2016-12-19,9,16,13,.565,23,3,.300,10,.485,33,11,.846,13,,L,33.7,1,35,ATL,2,2,Russell Westbrook,G,46,1,OKC,4,11
18,32-245,4,1,2017-01-29,6,18,15,.556,27,3,.333,9,.500,36,6,.857,7,@,L,26.5,1,46,ATL,0,6,Carmelo Anthony,F,45,0,NYK,3,6
19,23-231,3,2,2016-10-28,11,17,16,.552,29,1,.500,2,.548,31,10,.714,14,,L,39.7,1,40,GSW,6,2,Anthony Davis,F-C,45,2,NOP,1,17
20,23-257,3,1,2016-11-23,9,17,15,.652,23,2,.500,4,.630,27,9,.900,10,,W,36.3,1,39,MIN,1,1,Anthony Davis,F-C,45,2,NOP,4,10
22,28-041,11,0,2016-12-23,10,13,8,.444,18,5,.714,7,.520,25,14,.875,16,@,W,39.9,1,35,BOS,1,1,Russell Westbrook,G,45,1,OKC,4,11
23,28-075,3,0,2017-01-26,7,16,12,.571,21,4,.500,8,.552,29,9,.818,11,,W,32.4,1,35,DAL,1,2,Russell Westbrook,G,45,2,OKC,4,8
24,31-346,10,1,2016-12-10,8,17,12,.857,14,5,.500,10,.708,24,5,.556,9,,W,40.0,1,42,CHO,1,3,LeBron James,F-G,44,3,CLE,5,9
